index,floretion,x_coord,y_coord
0,4681,0,0
1,4682,0,1
2,4684,1,1
3,4687,1,0
4,4689,0,2
5,4690,0,3
6,4692,1,3
7,4695,1,2
8,4705,2,2
9,4706,2,3
10,4708,3,3
11,4711,3,2
12,4729,2,0
13,4730,2,1
14,4732,3,1
15,4735,3,0
16,4745,0,4
17,4746,0,5
18,4748,1,5
19,4751,1,4
20,4753,0,6
21,4754,0,7
22,4756,1,7
23,4759,1,6
24,4769,2,6
25,4770,2,7
26,4772,3,7
27,4775,3,6
28,4793,2,4
29,4794,2,5
30,4796,3,5
31,4799,3,4
32,4873,4,4
33,4874,4,5
34,4876,5,5
35,4879,5,4
36,4881,4,6
37,4882,4,7
38,4884,5,7
39,4887,5,6
40,4897,6,6
41,4898,6,7
42,4900,7,7
43,4903,7,6
44,4921,6,4
45,4922,6,5
46,4924,7,5
47,4927,7,4
48,5065,4,0
49,5066,4,1
50,5068,5,1
51,5071,5,0
52,5073,4,2
53,5074,4,3
54,5076,5,3
55,5079,5,2
56,5089,6,2
57,5090,6,3
58,5092,7,3
59,5095,7,2
60,5113,6,0
61,5114,6,1
62,5116,7,1
63,5119,7,0
64,5193,0,8
65,5194,0,9
66,5196,1,9
67,5199,1,8
68,5201,0,10
69,5202,0,11
70,5204,1,11
71,5207,1,10
72,5217,2,10
73,5218,2,11
74,5220,3,11
75,5223,3,10
76,5241,2,8
77,5242,2,9
78,5244,3,9
79,5247,3,8
80,5257,0,12
81,5258,0,13
82,5260,1,13
83,5263,1,12
84,5265,0,14
85,5266,0,15
86,5268,1,15
87,5271,1,14
88,5281,2,14
89,5282,2,15
90,5284,3,15
91,5287,3,14
92,5305,2,12
93,5306,2,13
94,5308,3,13
95,5311,3,12
96,5385,4,12
97,5386,4,13
98,5388,5,13
99,5391,5,12
100,5393,4,14
101,5394,4,15
102,5396,5,15
103,5399,5,14
104,5409,6,14
105,5410,6,15
106,5412,7,15
107,5415,7,14
108,5433,6,12
109,5434,6,13
110,5436,7,13
111,5439,7,12
112,5577,4,8
113,5578,4,9
114,5580,5,9
115,5583,5,8
116,5585,4,10
117,5586,4,11
118,5588,5,11
119,5591,5,10
120,5601,6,10
121,5602,6,11
122,5604,7,11
123,5607,7,10
124,5625,6,8
125,5626,6,9
126,5628,7,9
127,5631,7,8
128,6217,8,8
129,6218,8,9
130,6220,9,9
131,6223,9,8
132,6225,8,10
133,6226,8,11
134,6228,9,11
135,6231,9,10
136,6241,10,10
137,6242,10,11
138,6244,11,11
139,6247,11,10
140,6265,10,8
141,6266,10,9
142,6268,11,9
143,6271,11,8
144,6281,8,12
145,6282,8,13
146,6284,9,13
147,6287,9,12
148,6289,8,14
149,6290,8,15
150,6292,9,15
151,6295,9,14
152,6305,10,14
153,6306,10,15
154,6308,11,15
155,6311,11,14
156,6329,10,12
157,6330,10,13
158,6332,11,13
159,6335,11,12
160,6409,12,12
161,6410,12,13
162,6412,13,13
163,6415,13,12
164,6417,12,14
165,6418,12,15
166,6420,13,15
167,6423,13,14
168,6433,14,14
169,6434,14,15
170,6436,15,15
171,6439,15,14
172,6457,14,12
173,6458,14,13
174,6460,15,13
175,6463,15,12
176,6601,12,8
177,6602,12,9
178,6604,13,9
179,6607,13,8
180,6609,12,10
181,6610,12,11
182,6612,13,11
183,6615,13,10
184,6625,14,10
185,6626,14,11
186,6628,15,11
187,6631,15,10
188,6649,14,8
189,6650,14,9
190,6652,15,9
191,6655,15,8
192,7753,8,0
193,7754,8,1
194,7756,9,1
195,7759,9,0
196,7761,8,2
197,7762,8,3
198,7764,9,3
199,7767,9,2
200,7777,10,2
201,7778,10,3
202,7780,11,3
203,7783,11,2
204,7801,10,0
205,7802,10,1
206,7804,11,1
207,7807,11,0
208,7817,8,4
209,7818,8,5
210,7820,9,5
211,7823,9,4
212,7825,8,6
213,7826,8,7
214,7828,9,7
215,7831,9,6
216,7841,10,6
217,7842,10,7
218,7844,11,7
219,7847,11,6
220,7865,10,4
221,7866,10,5
222,7868,11,5
223,7871,11,4
224,7945,12,4
225,7946,12,5
226,7948,13,5
227,7951,13,4
228,7953,12,6
229,7954,12,7
230,7956,13,7
231,7959,13,6
232,7969,14,6
233,7970,14,7
234,7972,15,7
235,7975,15,6
236,7993,14,4
237,7994,14,5
238,7996,15,5
239,7999,15,4
240,8137,12,0
241,8138,12,1
242,8140,13,1
243,8143,13,0
244,8145,12,2
245,8146,12,3
246,8148,13,3
247,8151,13,2
248,8161,14,2
249,8162,14,3
250,8164,15,3
251,8167,15,2
252,8185,14,0
253,8186,14,1
254,8188,15,1
255,8191,15,0
256,8777,0,16
257,8778,0,17
258,8780,1,17
259,8783,1,16
260,8785,0,18
261,8786,0,19
262,8788,1,19
263,8791,1,18
264,8801,2,18
265,8802,2,19
266,8804,3,19
267,8807,3,18
268,8825,2,16
269,8826,2,17
270,8828,3,17
271,8831,3,16
272,8841,0,20
273,8842,0,21
274,8844,1,21
275,8847,1,20
276,8849,0,22
277,8850,0,23
278,8852,1,23
279,8855,1,22
280,8865,2,22
281,8866,2,23
282,8868,3,23
283,8871,3,22
284,8889,2,20
285,8890,2,21
286,8892,3,21
287,8895,3,20
288,8969,4,20
289,8970,4,21
290,8972,5,21
291,8975,5,20
292,8977,4,22
