index,floretion,x_coord,y_coord,oct
0,2396745,0,0,11111111
1,2396746,0,1,11111112
2,2396748,1,1,11111114
3,2396751,1,0,11111117
4,2396753,0,2,11111121
5,2396754,0,3,11111122
6,2396756,1,3,11111124
7,2396759,1,2,11111127
8,2396769,2,2,11111141
9,2396770,2,3,11111142
10,2396772,3,3,11111144
11,2396775,3,2,11111147
12,2396793,2,0,11111171
13,2396794,2,1,11111172
14,2396796,3,1,11111174
15,2396799,3,0,11111177
16,2396809,0,4,11111211
17,2396810,0,5,11111212
18,2396812,1,5,11111214
19,2396815,1,4,11111217
20,2396817,0,6,11111221
21,2396818,0,7,11111222
22,2396820,1,7,11111224
23,2396823,1,6,11111227
24,2396833,2,6,11111241
25,2396834,2,7,11111242
26,2396836,3,7,11111244
27,2396839,3,6,11111247
28,2396857,2,4,11111271
29,2396858,2,5,11111272
30,2396860,3,5,11111274
31,2396863,3,4,11111277
32,2396937,4,4,11111411
33,2396938,4,5,11111412
34,2396940,5,5,11111414
35,2396943,5,4,11111417
36,2396945,4,6,11111421
37,2396946,4,7,11111422
38,2396948,5,7,11111424
39,2396951,5,6,11111427
40,2396961,6,6,11111441
41,2396962,6,7,11111442
42,2396964,7,7,11111444
43,2396967,7,6,11111447
44,2396985,6,4,11111471
45,2396986,6,5,11111472
46,2396988,7,5,11111474
47,2396991,7,4,11111477
48,2397129,4,0,11111711
49,2397130,4,1,11111712
50,2397132,5,1,11111714
51,2397135,5,0,11111717
52,2397137,4,2,11111721
53,2397138,4,3,11111722
54,2397140,5,3,11111724
55,2397143,5,2,11111727
56,2397153,6,2,11111741
57,2397154,6,3,11111742
58,2397156,7,3,11111744
59,2397159,7,2,11111747
60,2397177,6,0,11111771
61,2397178,6,1,11111772
62,2397180,7,1,11111774
63,2397183,7,0,11111777
64,2397257,0,8,11112111
65,2397258,0,9,11112112
66,2397260,1,9,11112114
67,2397263,1,8,11112117
68,2397265,0,10,11112121
69,2397266,0,11,11112122
70,2397268,1,11,11112124
71,2397271,1,10,11112127
72,2397281,2,10,11112141
73,2397282,2,11,11112142
74,2397284,3,11,11112144
75,2397287,3,10,11112147
76,2397305,2,8,11112171
77,2397306,2,9,11112172
78,2397308,3,9,11112174
79,2397311,3,8,11112177
80,2397321,0,12,11112211
81,2397322,0,13,11112212
82,2397324,1,13,11112214
83,2397327,1,12,11112217
84,2397329,0,14,11112221
85,2397330,0,15,11112222
86,2397332,1,15,11112224
87,2397335,1,14,11112227
88,2397345,2,14,11112241
89,2397346,2,15,11112242
90,2397348,3,15,11112244
91,2397351,3,14,11112247
92,2397369,2,12,11112271
93,2397370,2,13,11112272
94,2397372,3,13,11112274
95,2397375,3,12,11112277
96,2397449,4,12,11112411
97,2397450,4,13,11112412
98,2397452,5,13,11112414
99,2397455,5,12,11112417
100,2397457,4,14,11112421
101,2397458,4,15,11112422
102,2397460,5,15,11112424
103,2397463,5,14,11112427
104,2397473,6,14,11112441
105,2397474,6,15,11112442
106,2397476,7,15,11112444
107,2397479,7,14,11112447
108,2397497,6,12,11112471
109,2397498,6,13,11112472
110,2397500,7,13,11112474
111,2397503,7,12,11112477
112,2397641,4,8,11112711
113,2397642,4,9,11112712
114,2397644,5,9,11112714
115,2397647,5,8,11112717
116,2397649,4,10,11112721
117,2397650,4,11,11112722
118,2397652,5,11,11112724
119,2397655,5,10,11112727
120,2397665,6,10,11112741
121,2397666,6,11,11112742
122,2397668,7,11,11112744
123,2397671,7,10,11112747
124,2397689,6,8,11112771
125,2397690,6,9,11112772
126,2397692,7,9,11112774
127,2397695,7,8,11112777
128,2398281,8,8,11114111
129,2398282,8,9,11114112
130,2398284,9,9,11114114
131,2398287,9,8,11114117
132,2398289,8,10,11114121
133,2398290,8,11,11114122
134,2398292,9,11,11114124
135,2398295,9,10,11114127
136,2398305,10,10,11114141
137,2398306,10,11,11114142
138,2398308,11,11,11114144
139,2398311,11,10,11114147
140,2398329,10,8,11114171
141,2398330,10,9,11114172
142,2398332,11,9,11114174
143,2398335,11,8,11114177
144,2398345,8,12,11114211
145,2398346,8,13,11114212
146,2398348,9,13,11114214
147,2398351,9,12,11114217
148,2398353,8,14,11114221
149,2398354,8,15,11114222
150,2398356,9,15,11114224
151,2398359,9,14,11114227
152,2398369,10,14,11114241
153,2398370,10,15,11114242
154,2398372,11,15,11114244
155,2398375,11,14,11114247
156,2398393,10,12,11114271
157,2398394,10,13,11114272
158,2398396,11,13,11114274
159,2398399,11,12,11114277
160,2398473,12,12,11114411
161,2398474,12,13,11114412
162,2398476,13,13,11114414
163,2398479,13,12,11114417
164,2398481,12,14,11114421
165,2398482,12,15,11114422
166,2398484,13,15,11114424
167,2398487,13,14,11114427
168,2398497,14,14,11114441
169,2398498,14,15,11114442
170,2398500,15,15,11114444
171,2398503,15,14,11114447
172,2398521,14,12,11114471
173,2398522,14,13,11114472
174,2398524,15,13,11114474
175,2398527,15,12,11114477
176,2398665,12,8,11114711
177,2398666,12,9,11114712
178,2398668,13,9,11114714
179,2398671,13,8,11114717
180,2398673,12,10,11114721
181,2398674,12,11,11114722
182,2398676,13,11,11114724
183,2398679,13,10,11114727
184,2398689,14,10,11114741
185,2398690,14,11,11114742
186,2398692,15,11,11114744
187,2398695,15,10,11114747
188,2398713,14,8,11114771
189,2398714,14,9,11114772
190,2398716,15,9,11114774
191,2398719,15,8,11114777
192,2399817,8,0,11117111
193,2399818,8,1,11117112
194,2399820,9,1,11117114
195,2399823,9,0,11117117
196,2399825,8,2,11117121
197,2399826,8,3,11117122
198,2399828,9,3,11117124
199,2399831,9,2,11117127
200,2399841,10,2,11117141
201,2399842,10,3,11117142
202,2399844,11,3,11117144
203,2399847,11,2,11117147
204,2399865,10,0,11117171
205,2399866,10,1,11117172
206,2399868,11,1,11117174
207,2399871,11,0,11117177
208,2399881,8,4,11117211
209,2399882,8,5,11117212
210,2399884,9,5,11117214
211,2399887,9,4,11117217
212,2399889,8,6,11117221
213,2399890,8,7,11117222
214,2399892,9,7,11117224
215,2399895,9,6,11117227
216,2399905,10,6,11117241
217,2399906,10,7,11117242
218,2399908,11,7,11117244
219,2399911,11,6,11117247
220,2399929,10,4,11117271
221,2399930,10,5,11117272
222,2399932,11,5,11117274
223,2399935,11,4,11117277
224,2400009,12,4,11117411
225,2400010,12,5,11117412
226,2400012,13,5,11117414
227,2400015,13,4,11117417
228,2400017,12,6,11117421
229,2400018,12,7,11117422
230,2400020,13,7,11117424
231,2400023,13,6,11117427
232,2400033,14,6,11117441
233,2400034,14,7,11117442
234,2400036,15,7,11117444
235,2400039,15,6,11117447
236,2400057,14,4,11117471
237,2400058,14,5,11117472
238,2400060,15,5,11117474
239,2400063,15,4,11117477
240,2400201,12,0,11117711
241,2400202,12,1,11117712
242,2400204,13,1,11117714
243,2400207,13,0,11117717
244,2400209,12,2,11117721
245,2400210,12,3,11117722
246,2400212,13,3,11117724
247,2400215,13,2,11117727
248,2400225,14,2,11117741
249,2400226,14,3,11117742
250,2400228,15,3,11117744
251,2400231,15,2,11117747
252,2400249,14,0,11117771
253,2400250,14,1,11117772
254,2400252,15,1,11117774
255,2400255,15,0,11117777
256,2400841,0,16,11121111
257,2400842,0,17,11121112
258,2400844,1,17,11121114
259,2400847,1,16,11121117
260,2400849,0,18,11121121
261,2400850,0,19,11121122
262,2400852,1,19,11121124
263,2400855,1,18,11121127
264,2400865,2,18,11121141
265,2400866,2,19,11121142
266,2400868,3,19,11121144
